"ProductName","ProductCategory","Description","Quantity","Price","ProductCode","Manufacturer","ProductTax","CoolingCapacity","PowerConsumption","CurrentRating","FCUCapacity","EfficiencyProfile","ProductCategoryId","IsActive","CreatedOn","UpdatedOn","ProductInventory","Tags","ImagePath","ModelNo","Id"
"BPL AC","FCU","BPL AC is a multinational manufacturer of home appliances based in Michigan, United States. BPL AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  BPL AC ACs hold a market share of 25% in the AC market","0","4123","5093566312","BPL","12%","NULL","NULL","NULL","NULL","121",,true,"08/01/2021","1900-01-01T00:00:00.000Z","OS","2","loction/img","938769865812",1
"Trane AC","FCU","Trane AC is a multinational manufacturer of home appliances based in Michigan, United States. Trane AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Trane AC ACs hold a market share of 25% in the AC market","0","3011","6981582533","Trane","18%","NULL","NULL","NULL","NULL","121",,true,"08/02/2021","1900-01-01T00:00:00.000Z","OS","2","loction/img","104649225172",2
"Mitsubishi AC","Condensor","Mitsubishi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitsubishi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitsubishi AC ACs hold a market share of 25% in the AC market","0","3920","8018481891","Mitsubishi","13%","NULL","NULL","NULL","NULL","121",,true,"08/03/2021","1900-01-01T00:00:00.000Z","OS","2","loction/img","115006562476",3
"Midea AC","Condensor","Midea AC is a multinational manufacturer of home appliances based in Michigan, United States. Midea AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Midea AC ACs hold a market share of 25% in the AC market","0","4985","5046979273","Midea","12%","NULL","NULL","NULL","NULL","121",,true,"08/04/2021","1900-01-01T00:00:00.000Z","OS","4","loction/img","907104315082",4
"Trane AC","Condensor","Trane AC is a multinational manufacturer of home appliances based in Michigan, United States. Trane AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Trane AC ACs hold a market share of 25% in the AC market","0","4413","6762051899","Trane","14%","NULL","NULL","NULL","NULL","121",,true,"08/05/2021","1900-01-01T00:00:00.000Z","OS","2","loction/img","749734432705",5
"BPL AC","Condensor","BPL AC is a multinational manufacturer of home appliances based in Michigan, United States. BPL AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  BPL AC ACs hold a market share of 25% in the AC market","0","3378","9110901138","BPL","16%","NULL","NULL","NULL","NULL","121",,true,"08/06/2021","1900-01-01T00:00:00.000Z","OS","2","loction/img","397704591276",6
"MarQ AC","FCU","MarQ AC is a multinational manufacturer of home appliances based in Michigan, United States. MarQ AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  MarQ AC ACs hold a market share of 25% in the AC market","0","3032","4034707612","MarQ","15%","NULL","NULL","NULL","NULL","121",,true,"08/07/2021","1900-01-01T00:00:00.000Z","OS","5","loction/img","889289414470",7
"Midea AC","FCU","Midea AC is a multinational manufacturer of home appliances based in Michigan, United States. Midea AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Midea AC ACs hold a market share of 25% in the AC market","0","4506","9666899447","Midea","16%","NULL","NULL","NULL","NULL","121",,true,"08/08/2021","1900-01-01T00:00:00.000Z","OS","4","loction/img","127895200503",8
"Lloyd AC","Condensor","Lloyd AC is a multinational manufacturer of home appliances based in Michigan, United States. Lloyd AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Lloyd AC ACs hold a market share of 25% in the AC market","0","4557","3439710637","Lloyd","12%","NULL","NULL","NULL","NULL","121",,true,"08/09/2021","1900-01-01T00:00:00.000Z","OS","4","loction/img","583849282366",9
"Videocon AC","FCU","Videocon AC is a multinational manufacturer of home appliances based in Michigan, United States. Videocon AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Videocon AC ACs hold a market share of 25% in the AC market","0","4821","3364269005","Videocon","18%","NULL","NULL","NULL","NULL","121",,true,"08/10/2021","1900-01-01T00:00:00.000Z","OS","3","loction/img","902357111952",10
